program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
4,1,3.7,161.0,165.0,,,,,0,0.0,,,,
8,0,3.89,146.0,159.0,,,,,0,1.0,,,,
17,0,3.8,167.0,168.0,,,,,0,0.0,,,,
8,0,3.93,169.0,169.0,,,,,0,0.0,,,,
34,1,3.23,164.0,159.0,,,,,0,0.0,,,,
8,1,4.0,152.0,168.0,,,,,0,1.0,,,,
14,1,3.67,170.0,154.0,,,,,0,0.0,,,,
8,1,3.9,162.0,165.0,,,,,0,1.0,,,,
5,0,3.9,152.0,170.0,,,,,0,1.0,,,,
2,1,3.83,160.0,167.0,,,,,0,0.0,,,,
21,0,3.93,158.0,170.0,,,,,0,0.0,,,,
8,1,3.54,164.0,167.0,,,,,0,1.0,,,,
8,1,4.0,164.0,170.0,,,,,0,1.0,,,,
32,0,3.81,161.0,165.0,,,,,0,0.0,,,,
10,1,3.67,157.0,165.0,,,,,0,1.0,,,,
14,1,3.43,164.0,168.0,,,,,0,0.0,,,,
5,0,3.95,155.0,161.0,,,,,0,1.0,,,,
8,0,3.82,159.0,168.0,,,,,0,1.0,,,,
8,1,3.35,159.0,162.0,,,,,0,0.0,,,,
8,1,3.84,154.0,168.0,,,,,0,1.0,,,,
6,0,4.0,158.0,168.0,,,,,0,1.0,,,,
5,1,3.92,163.0,170.0,,,,,0,1.0,,,,
8,1,3.32,149.0,164.0,,,,,0,1.0,,,,
8,1,3.05,156.0,165.0,,,,,0,1.0,,,,
25,0,3.98,161.0,170.0,,,,,0,1.0,,,,
8,1,3.7,157.0,158.0,,,,,0,0.0,,,,
31,0,3.7,164.0,170.0,,,,,0,1.0,,,,
8,0,3.0,162.0,159.0,,,,,0,1.0,,,,
8,1,3.6,168.0,162.0,,,,,0,1.0,,,,
34,1,3.88,168.0,141.0,,,,,0,1.0,,,,
29,0,3.12,152.0,166.0,,,,,0,0.0,,,,
25,0,4.0,163.0,168.0,,,,,0,0.0,,,,
17,0,3.6,151.0,156.0,,,,,0,0.0,,,,
33,0,3.9,152.0,163.0,,,,,0,1.0,,,,
10,0,3.97,158.0,166.0,,,,,0,0.0,,,,
5,1,3.96,158.0,170.0,,,,,0,0.0,,,,
5,1,3.92,152.0,149.0,,,,,0,0.0,,,,
29,1,3.86,158.0,168.0,,,,,0,0.0,,,,
17,1,3.4,148.0,156.0,,,,,0,0.0,,,,
10,1,3.74,159.0,170.0,,,,,0,1.0,,,,
17,1,3.89,163.0,166.0,,,,,0,0.0,,,,
32,1,3.98,167.0,165.0,,,,,0,0.0,,,,
32,1,3.8,163.0,167.0,,,,,0,1.0,,,,
28,1,3.37,160.0,166.0,,,,,0,0.0,,,,
32,1,3.96,168.0,170.0,,,,,0,0.0,,,,
6,0,4.0,163.0,168.0,,,,,0,0.0,,,,
32,0,3.97,169.0,161.0,,,,,0,0.0,,,,
29,1,3.95,167.0,170.0,,,,,0,0.0,,,,
8,1,3.75,165.0,170.0,,,,,0,0.0,,,,
5,1,3.54,161.0,166.0,,,,,0,0.0,,,,
25,0,3.7,148.0,170.0,,,,,0,1.0,,,,
25,1,3.56,167.0,164.0,,,,,0,0.0,,,,
5,1,4.0,170.0,151.0,,,,,0,1.0,,,,
8,1,3.01,144.0,162.0,,,,,0,1.0,,,,
23,1,3.5,165.0,156.0,,,,,0,0.0,,,,
33,1,4.0,163.0,168.0,,,,,0,0.0,,,,
25,0,3.8,167.0,170.0,,,,,0,0.0,,,,
29,1,3.91,165.0,168.0,,,,,0,0.0,,,,
4,1,3.51,162.0,167.0,,,,,0,0.0,,,,
32,1,3.3,155.0,157.0,,,,,0,0.0,,,,
8,1,3.52,154.0,157.0,,,,,0,1.0,,,,
14,1,3.65,149.0,167.0,,,,,0,1.0,,,,
29,1,3.88,166.0,168.0,,,,,0,0.0,,,,
29,1,3.65,156.0,166.0,,,,,0,0.0,,,,
32,0,3.94,144.0,167.0,,,,,0,1.0,,,,
8,1,3.34,143.0,166.0,,,,,0,1.0,,,,
31,1,3.8,165.0,164.0,,,,,0,0.0,,,,
8,0,3.88,155.0,166.0,,,,,0,1.0,,,,
8,1,3.49,155.0,164.0,,,,,0,1.0,,,,
4,0,3.89,160.0,170.0,,,,,0,1.0,,,,
5,0,3.79,154.0,168.0,,,,,0,1.0,,,,
8,0,3.89,148.0,168.0,,,,,0,1.0,,,,
6,1,3.85,164.0,155.0,,,,,0,1.0,,,,
4,1,3.75,170.0,170.0,,,,,0,0.0,,,,
5,0,3.5,168.0,165.0,,,,,0,0.0,,,,
20,1,3.92,154.0,161.0,,,,,0,0.0,,,,
32,0,3.44,158.0,163.0,,,,,0,0.0,,,,
17,1,3.01,162.0,165.0,,,,,0,0.0,,,,
8,1,3.3,154.0,167.0,,,,,0,1.0,,,,
32,0,3.7,158.0,163.0,,,,,0,1.0,,,,
4,1,3.7,165.0,161.0,,,,,0,0.0,,,,
8,0,3.0,164.0,149.0,,,,,0,1.0,,,,
8,0,3.85,162.0,,,,,,0,1.0,,,,
8,0,3.96,168.0,,,,,,0,1.0,,,,
5,0,3.6,160.0,167.0,,,,,0,1.0,,,,
1,1,3.9,170.0,166.0,,,,,0,0.0,,,,
8,0,3.89,159.0,146.0,,,,,0,1.0,,,,
5,0,3.9,170.0,152.0,,,,,0,1.0,,,,
18,1,3.92,162.0,164.0,,,,,0,1.0,,,,
25,0,3.98,170.0,161.0,,,,,0,1.0,,,,
25,0,3.51,162.0,167.0,,,,,0,0.0,,,,
5,1,3.94,167.0,170.0,,,,,0,1.0,,,,
6,0,3.38,149.0,163.0,,,,,0,1.0,,,,
6,0,3.3,154.0,167.0,,,,,0,1.0,,,,
6,0,3.56,149.0,170.0,,,,,0,1.0,,,,
25,0,3.56,149.0,170.0,,,,,0,1.0,,,,
8,1,3.55,170.0,156.0,,,,,0,1.0,,,,
8,1,3.98,170.0,160.0,,,,,0,0.0,,,,
