program_id,school,program,result,season,out_date,submit_date,method,tid,fin
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-03-05,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-06,2020-01-08,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-06,2020-01-12,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-02,2020-01-11,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-09,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-02-26,2020-01-24,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-21,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-17,2019-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-02-06,,,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-23,2019-12-31,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-17,2019-11-08,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-02,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-06,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-10-28,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2017-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-04,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-09,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-01,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2025 Fall,2025-04-11,,,0,自费AD
129,CMU,MSCF,AD无奖,2024 Fall,2024-03-09,2023-11-15,邮件,0,
129,CMU,MSCF,Reject,2024 Fall,2024-02-29,2023-12-02,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-05-01,2023-03-05,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-02,2022-12-05,邮件,0,
129,CMU,MS in Computational Finance,Reject,2023 Fall,2023-03-01,2022-12-15,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-01,2022-12-12,邮件,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-02,2022-12-03,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-01,2022-12-01,邮件,0,
129,CMU,MS in Computational Finance,Reject,2023 Fall,2023-03-01,2022-12-05,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2021-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-03-09,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-03-10,邮件,0,
129,CMU,MS in Computational Finance,Waiting,2022 Fall,2022-05-03,2022-03-06,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-02-08,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2021-12-15,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,,,0,自费AD
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-05,,,0,自费AD
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,,,0,自费AD
129,CMU,MS in Computational Finance,AD无奖,2022 Fall,2022-03-03,2021-12-03,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-12-01,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-05,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MS in Computational Finance,Reject,2022 Fall,2022-03-03,2021-12-03,网申,0,
129,CMU,MS in Computational Finance,Reject,2022 Fall,2022-03-04,2021-12-03,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-15,邮件,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-02,网申,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-11-27,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,邮件,0,
129,CMU,MS in Computational Finance,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,AD小奖,2022 Fall,2022-03-03,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MS in Computational Finance,Reject,2021 Fall,2021-05-05,2021-03-15,网申,0,
129,CMU,MS in Computational Finance,AD无奖,2021 Fall,2021-05-05,2021-03-15,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-05-06,2020-12-08,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-05-06,2021-03-15,邮件,0,
129,CMU,MS in Computational Finance,AD无奖,2021 Fall,2021-05-06,2021-01-28,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-05-05,2020-12-10,网申,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-15,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-08,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2020-12-10,网申,0,
129,CMU,MSCF,Waiting,2021 Fall,2021-03-08,2020-12-10,网申,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-09,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2020-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2020-12-10,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-01,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2021-03-15,邮件,0,
